計算時刻,★★判断★★,通貨ペア,現在価格,適正価格(今日),適正価格(明日),適正価格(明後日),適正価格乖離率,ロングエントリ推奨価格,ショートエントリ推奨価格,EMA(200),EMA(100),EMA(50),EMA(200)BTC建て,価格変動率,BTC連動率上昇,BTC連動率下落,RSI(14),RSI(14)BTC建て,ロング評価,ショート評価,小数点位置,STAR
2021-06-18 21:04:45,,COTIUSDT,0.19296,0.20354,0.20313,0.19738,-5.2,0.17766,0.22943,-44.1,-36.7,-25.6,-0.6,-2.95,220.71,238.02,40.0,43.0,0,0,5,0
2021-06-18 21:04:47,,CRVUSDT,2.099,2.227,2.024,2.099,-5.7,1.996,2.458,-14.4,-15.2,-12.7,-31.0,0.29,256.64,190.37,44.3,49.0,0,0,3,0
2021-06-18 21:04:50,,CTKUSDT,1.205,1.294,1.254,1.29,-6.9,1.155,1.432,-32.9,-34.7,-25.8,-32.1,-8.51,171.83,250.26,42.9,46.2,0,0,3,0
2021-06-18 21:04:53,L,CVCUSDT,0.24025,0.26735,0.2488,0.25014,-10.1,0.24323,0.29148,-29.8,-37.7,-33.1,-14.4,-4.25,141.39,200.99,28.3,29.5,1,0,5,1
2021-06-18 21:04:55,,DASHUSDT,161.41,170.12,162.18,163.82,-5.1,159.16,181.08,-20.9,-29.3,-26.1,-16.6,-1.57,147.27,169.53,39.2,41.3,0,0,2,0
2021-06-18 21:04:58,,DEFIUSDT,1714.2,1859.0,1745.9,1775.4,-7.8,1702.1,2015.9,-17.6,-26.6,-23.7,,-3.55,157.28,201.98,39.5,0.0,0,0,1,0
2021-06-18 21:05:01,,DENTUSDT,0.003216,0.003484,0.003358,0.003375,-7.7,0.003077,0.003892,-61.0,-54.1,-39.0,-69.7,-4.82,147.65,218.12,39.8,48.4,0,0,6,0
2021-06-18 21:05:04,L,DGBUSDT,0.05139,0.05778,0.05456,0.05563,-11.1,0.05253,0.06302,-59.0,-51.7,-38.9,-18.9,-7.8,125.07,259.24,32.6,33.2,1,0,5,1
2021-06-18 21:05:06,,DODOUSDT,1.293,1.396,1.268,1.273,-7.4,1.269,1.523,-67.0,-55.4,-37.4,-53.8,2.38,375.64,303.85,46.4,48.8,0,0,3,0
2021-06-18 21:05:09,L,DOGEUSDT,0.2991,0.31796,0.30417,0.30582,-5.9,0.30089,0.33504,52.1,5.7,-11.7,77.6,-2.33,63.45,108.53,29.0,37.1,1,0,5,1
2021-06-18 21:05:12,,DOTUSDT,21.669,23.365,22.75,22.38,-7.3,19.327,27.403,-14.6,-24.8,-20.5,0.6,-3.84,164.33,232.13,39.0,39.8,0,0,3,0
2021-06-18 21:05:14,,EGLDUSDT,81.93,90.51,85.21,85.95,-9.5,80.83,100.19,-24.2,-33.9,-28.7,-9.3,-4.71,155.93,216.11,38.7,41.1,0,0,2,0
2021-06-18 21:05:17,,ENJUSDT,1.3142,1.3939,1.3956,1.3994,-5.7,1.2646,1.5231,-6.5,-22.8,-20.7,13.8,-6.18,149.04,257.07,41.0,42.9,0,0,4,0
2021-06-18 21:05:19,L,EOSUSDT,4.805,5.147,4.769,4.868,-6.6,4.833,5.461,-7.7,-19.8,-21.9,-10.2,-1.31,166.21,165.13,39.5,41.0,1,0,3,1
2021-06-18 21:05:22,,ETCUSDT,53.804,57.81,54.479,55.453,-6.9,52.082,63.539,47.9,5.6,-12.2,60.5,-3.09,112.79,150.63,34.1,36.8,0,0,3,0
2021-06-18 21:05:25,L,ETHUSDT,2305.68,2533.59,2313.61,2370.8,-9.0,2356.9,2710.29,16.1,-5.8,-12.4,28.7,-2.82,141.81,174.55,33.6,33.5,1,0,2,1
2021-06-18 21:05:27,L,FILUSDT,66.94,71.865,68.837,68.691,-6.9,67.737,75.992,-17.3,-29.0,-26.4,-19.0,-2.85,89.52,135.48,33.4,35.4,1,0,3,1
2021-06-18 21:05:30,,FLMUSDT,0.5114,0.5448,0.538,0.5255,-6.1,0.5066,0.5831,-9.7,-17.9,-17.3,-26.3,-3.31,203.51,248.2,41.7,43.6,0,0,4,0
2021-06-18 21:05:33,,FTMUSDT,0.32098,0.28513,0.28287,0.33316,12.6,0.23658,0.33368,-0.1,-17.8,-16.4,23.6,-0.05,272.01,209.03,63.4,67.7,0,0,5,0
2021-06-18 21:05:35,,GRTUSDT,0.65031,0.70566,0.66861,0.6835,-7.8,0.60971,0.8016,-40.8,-42.3,-31.8,-21.8,-5.1,211.73,272.68,41.6,43.7,0,0,5,0
2021-06-18 21:05:38,,GTCUSDT,8.688,10.618,8.727,8.641,-18.2,,,-26.5,-25.6,-24.0,-34.5,3.23,136.97,102.51,29.7,36.5,0,0,3,0
2021-06-18 21:05:40,,HBARUSDT,0.21559,0.20976,0.20737,0.209,2.8,0.19775,0.22176,-30.4,-22.9,-13.0,22.6,3.55,330.81,246.87,56.0,59.5,0,0,5,0
2021-06-18 21:05:43,,HNTUSDT,13.605,13.394,13.271,13.787,1.6,12.274,14.515,39.3,6.3,-4.4,55.7,-3.06,226.59,181.53,53.5,59.0,0,0,3,0
2021-06-18 21:05:46,,HOTUSDT,0.007443,0.007991,0.007668,0.00767,-6.9,0.007076,0.008906,-50.0,-41.2,-26.8,-53.9,-3.22,107.62,155.84,37.0,46.9,0,0,6,0
2021-06-18 21:05:48,,ICPUSDT,51.89,58.46,53.87,53.76,-11.2,47.69,69.23,-82.0,-77.7,-67.9,-74.3,-4.14,101.02,253.39,30.3,31.3,0,0,2,0
2021-06-18 21:05:51,,ICXUSDT,1.0132,1.0693,1.0373,1.0523,-5.2,0.9379,1.2007,-29.1,-35.4,-27.9,-19.0,-5.42,221.06,303.11,46.0,48.9,0,0,4,0
2021-06-18 21:05:54,L,IOSTUSDT,0.026411,0.02889,0.026745,0.026663,-8.6,0.027155,0.030626,-24.7,-34.5,-29.5,-11.0,-1.46,164.05,157.45,36.4,40.2,1,0,6,1
2021-06-18 21:05:56,,IOTAUSDT,1.052,1.1117,1.0509,1.089,-5.4,1.0326,1.1908,-11.4,-24.1,-21.7,0.9,-4.28,127.18,183.85,39.6,42.4,0,0,4,0
2021-06-18 21:05:59,,KAVAUSDT,3.9372,4.0652,4.1122,4.1602,-3.1,3.7496,4.3808,-4.7,-12.8,-10.3,-0.5,-5.57,138.3,194.73,44.0,48.3,0,0,4,0
2021-06-18 21:06:02,,KNCUSDT,1.846,1.844,2.009,1.903,0.1,1.574,2.113,-12.7,-20.3,-17.3,-10.2,-4.94,122.99,211.52,43.7,46.6,0,0,3,0
2021-06-18 21:06:04,,KSMUSDT,329.35,365.16,363.04,341.49,-9.8,277.01,453.3,11.5,-11.3,-17.3,27.0,-5.18,179.6,266.83,28.5,25.8,0,0,2,0
2021-06-18 21:06:07,,LINAUSDT,0.03229,0.03544,0.03389,0.03363,-8.9,0.03125,0.03964,-71.9,-62.2,-44.6,-63.7,-4.3,202.42,250.0,40.7,43.2,0,0,5,0
2021-06-18 21:06:10,,LINKUSDT,22.328,24.351,22.598,23.29,-8.3,22.01,26.692,-17.3,-26.4,-24.4,-12.3,-4.58,161.75,216.21,39.0,39.7,0,0,3,0
2021-06-18 21:06:12,,LITUSDT,3.324,3.514,3.359,3.426,-5.4,3.278,3.749,-59.7,-49.8,-33.2,-29.7,-4.62,210.24,238.34,44.2,48.9,0,0,3,0
2021-06-18 21:06:15,,LTCUSDT,164.02,173.74,163.88,166.88,-5.6,160.89,186.6,-11.8,-21.8,-19.6,-5.2,-1.81,134.42,145.61,41.9,46.3,0,0,2,0
2021-06-18 21:06:18,L,LRCUSDT,0.27831,0.30404,0.28403,0.29183,-8.5,0.28451,0.32358,-34.7,-37.2,-29.9,-29.5,-4.98,159.12,229.97,32.5,35.5,1,0,5,1
2021-06-18 21:06:20,,LUNAUSDT,6.217,6.465,6.295,6.163,-3.8,5.813,7.117,-29.7,-38.5,-30.9,-7.0,0.96,221.43,195.96,50.7,56.1,0,0,3,0
2021-06-18 21:06:23,L,MANAUSDT,0.6632,0.7085,0.7054,0.6854,-6.4,0.6694,0.7476,-35.5,-32.7,-26.0,15.4,-3.91,131.21,190.76,39.3,41.7,1,0,4,1
2021-06-18 21:06:26,L,MATICUSDT,1.4254,1.604,1.4307,1.495,-11.1,1.45,1.7581,105.7,36.5,4.7,125.5,-5.14,131.39,226.42,38.8,40.8,1,0,4,1
2021-06-18 21:06:28,L,MKRUSDT,2803.0,3137.6,2885.9,2898.8,-10.7,2918.5,3356.7,5.6,-14.4,-19.8,17.5,-3.68,142.71,204.52,30.5,27.6,1,0,1,1
2021-06-18 21:06:31,,MTLUSDT,1.916,2.155,2.0253,2.0495,-11.1,1.8564,2.4536,-57.2,-47.3,-32.7,4.7,-6.62,136.05,229.49,25.0,27.7,0,0,4,0
2021-06-18 21:06:33,,NEARUSDT,3.2474,3.2149,3.1181,3.0872,1.0,2.8495,3.5803,-12.0,-20.7,-14.7,-1.1,5.28,353.21,148.67,59.0,69.1,0,0,4,0
2021-06-18 21:06:36,,NEOUSDT,47.044,49.956,48.218,48.615,-5.8,46.764,53.149,-9.0,-23.9,-24.4,-0.4,-3.29,142.23,174.62,39.2,42.1,0,0,3,0
2021-06-18 21:06:39,,NKNUSDT,0.2874,0.299,0.289,0.293,-3.9,0.272,0.327,-67.7,-56.7,-37.2,18.6,-3.48,204.18,287.99,43.6,46.0,0,0,3,0
2021-06-18 21:06:41,,OCEANUSDT,0.52265,0.54315,0.56164,0.54587,-3.8,0.49352,0.59278,-42.3,-44.2,-34.6,-40.3,-4.75,124.31,217.24,41.5,43.4,0,0,5,0
2021-06-18 21:06:46,,OGNUSDT,0.8442,1.0016,0.8963,0.886,-15.7,0.814,1.1892,-45.8,-38.2,-24.7,3.9,-5.46,194.84,289.86,41.4,42.6,0,0,4,0
2021-06-18 21:06:48,,OMGUSDT,4.9449,5.1718,5.0152,5.0269,-4.4,4.7193,5.6242,-16.4,-25.4,-23.7,-14.2,-1.74,169.85,173.29,43.3,47.5,0,0,4,0
2021-06-18 21:06:51,,ONEUSDT,0.07744,0.08349,0.07952,0.07973,-7.2,0.0761,0.09089,-29.7,-29.9,-24.4,19.2,-3.09,122.9,149.27,37.4,40.3,0,0,5,0
2021-06-18 21:06:53,L,ONTUSDT,0.8739,0.96,0.9,0.91,-9.0,0.91,1.02,-27.9,-35.3,-32.0,-26.9,-3.77,163.58,211.69,34.9,36.5,1,0,2,1
2021-06-18 21:06:56,L,QTUMUSDT,8.36,9.202,8.516,8.613,-9.2,8.474,9.93,-12.6,-29.1,-30.9,-2.4,-3.13,162.71,202.35,33.8,33.6,1,0,3,1
